| end of split  90 /100 | epoch   1 | time: 977.64s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  91 /100 | epoch   1 | time: 979.18s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  92 /100 | epoch   1 | time: 980.08s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  93 /100 | epoch   1 | time: 978.54s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  94 /100 | epoch   1 | time: 992.10s | valid loss  1.11 | valid ppl     3.02 | learning rate 20.00
| end of split  95 /100 | epoch   1 | time: 978.99s | valid loss  1.11 | valid ppl     3.05 | learning rate 20.00
| end of split  96 /100 | epoch   1 | time: 978.79s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  97 /100 | epoch   1 | time: 980.16s | valid loss  1.10 | valid ppl     3.02 | learning rate 20.00
| end of split  98 /100 | epoch   1 | time: 978.79s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  99 /100 | epoch   1 | time: 979.27s | valid loss  1.11 | valid ppl     3.02 | learning rate 20.00
| end of split 100 /100 | epoch   1 | time: 979.49s | valid loss  1.11 | valid ppl     3.02 | learning rate 20.00
| end of split   1 /100 | epoch   2 | time: 153.62s | valid loss  1.16 | valid ppl     3.18 | learning rate 20.00
| end of split   2 /100 | epoch   2 | time: 977.97s | valid loss  1.10 | valid ppl     3.02 | learning rate 20.00
| end of split   3 /100 | epoch   2 | time: 980.14s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split   4 /100 | epoch   2 | time: 980.55s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split   5 /100 | epoch   2 | time: 979.95s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split   6 /100 | epoch   2 | time: 979.83s | valid loss  1.10 | valid ppl     3.02 | learning rate 20.00
| end of split   7 /100 | epoch   2 | time: 980.40s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split   8 /100 | epoch   2 | time: 994.79s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split   9 /100 | epoch   2 | time: 981.15s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  10 /100 | epoch   2 | time: 985.91s | valid loss  1.10 | valid ppl     3.02 | learning rate 20.00
| end of split  11 /100 | epoch   2 | time: 980.57s | valid loss  1.11 | valid ppl     3.02 | learning rate 20.00
| end of split  12 /100 | epoch   2 | time: 981.55s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  13 /100 | epoch   2 | time: 982.82s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  14 /100 | epoch   2 | time: 981.31s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  15 /100 | epoch   2 | time: 980.78s | valid loss  1.11 | valid ppl     3.02 | learning rate 20.00
| end of split  16 /100 | epoch   2 | time: 981.68s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  17 /100 | epoch   2 | time: 983.16s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
