| end of split  38 /100 | epoch   1 | time: 117.71s | valid loss  2.98 | valid ppl    19.76 | learning rate 5.00
| end of split  39 /100 | epoch   1 | time: 118.38s | valid loss  2.93 | valid ppl    18.78 | learning rate 5.00
| end of split  40 /100 | epoch   1 | time: 117.62s | valid loss  2.94 | valid ppl    18.98 | learning rate 5.00
| end of split  41 /100 | epoch   1 | time: 118.22s | valid loss  2.97 | valid ppl    19.56 | learning rate 5.00
| end of split  42 /100 | epoch   1 | time: 117.69s | valid loss  2.98 | valid ppl    19.76 | learning rate 5.00
| end of split  43 /100 | epoch   1 | time: 118.26s | valid loss  2.95 | valid ppl    19.19 | learning rate 5.00
| end of split  44 /100 | epoch   1 | time: 117.56s | valid loss  3.03 | valid ppl    20.68 | learning rate 5.00
| end of split  45 /100 | epoch   1 | time: 117.38s | valid loss  2.99 | valid ppl    19.83 | learning rate 5.00
| end of split  46 /100 | epoch   1 | time: 118.05s | valid loss  2.95 | valid ppl    19.02 | learning rate 5.00
| end of split  47 /100 | epoch   1 | time: 117.78s | valid loss  2.96 | valid ppl    19.21 | learning rate 5.00
| end of split  48 /100 | epoch   1 | time: 118.41s | valid loss  2.95 | valid ppl    19.09 | learning rate 5.00
| end of split  49 /100 | epoch   1 | time: 118.40s | valid loss  2.97 | valid ppl    19.58 | learning rate 5.00
| end of split  50 /100 | epoch   1 | time: 118.21s | valid loss  3.11 | valid ppl    22.45 | learning rate 5.00
| end of split  51 /100 | epoch   1 | time: 117.84s | valid loss  2.95 | valid ppl    19.03 | learning rate 1.25
| end of split  52 /100 | epoch   1 | time: 117.92s | valid loss  2.96 | valid ppl    19.23 | learning rate 1.25
| end of split  53 /100 | epoch   1 | time: 117.81s | valid loss  2.96 | valid ppl    19.25 | learning rate 1.25
| end of split  54 /100 | epoch   1 | time: 16.82s | valid loss  3.05 | valid ppl    21.09 | learning rate 1.25
| end of split  55 /100 | epoch   1 | time: 118.27s | valid loss  2.97 | valid ppl    19.41 | learning rate 1.25
| end of split  56 /100 | epoch   1 | time: 117.42s | valid loss  2.95 | valid ppl    19.18 | learning rate 1.25
| end of split  57 /100 | epoch   1 | time: 118.74s | valid loss  2.96 | valid ppl    19.25 | learning rate 1.25
| end of split  58 /100 | epoch   1 | time: 117.88s | valid loss  2.96 | valid ppl    19.39 | learning rate 1.25
| end of split  59 /100 | epoch   1 | time: 118.02s | valid loss  2.94 | valid ppl    18.96 | learning rate 1.25
| end of split  60 /100 | epoch   1 | time: 117.81s | valid loss  2.95 | valid ppl    19.13 | learning rate 1.25
